,cdgeb-file-01,cdgeb-file-02,cdgeb-file-03,cdgeb-file-04,cdgeb-file-05,cdgeb-file-06,cdgeb-file-07,cdgeb-file-08,cdgeb-file-09,cdgeb-file-10,cdgeb-file-11,cdgeb-file-12,cdgeb-file-13,cdgeb-file-14,cdgeb-file-15,cdgeb-file-16,cdgeb-file-17
cdgeb-server-01,0.147357,0.091364,0.174152,0.112242,0.012822,0.062067,0.014907,0,0.18639,0.075869,0.067631,0.063527,0.210792,0.081626,0.198542,0.114677,0.149666
cdgeb-server-02,0.214476,0.018225,0.23823,0.034048,0.087371,0.147179,0.078807,0.078327,0.117702,0,0.012557,0.129471,0.151498,0.012972,0.265196,0.191822,0.2146
cdgeb-server-03,0.252447,0.196889,0.278156,0.213153,0.115183,0.165765,0.118059,0.107395,0.293686,0.180207,0.170682,0.167632,0.315441,0.188385,0.307597,0,0.253275
cdgeb-server-04,0,0.217924,0.031239,0.23848,0.128269,0.103926,0.136933,0.141909,0.132262,0.205336,0.195617,0.092798,0.071524,0.213277,0.111508,0.252236,0.003884
cdgeb-server-05,0.067414,0.152198,0.098088,0.173224,0.196735,0.171815,0.206599,0.206705,0.04848,0.16159,0.157884,0.166993,0,0.142461,0.092708,0.321739,0.075213
cdgeb-server-06,0.14434,0.088685,0.173021,0.107851,0.02419,0.08046,0,0.013947,0.188624,0.078483,0.067763,0.059379,0.20747,0.084261,0.198646,0.128895,0.147628
cdgeb-server-07,0.131249,0.097977,0.158545,0.119387,0,0.052085,0.021889,0.009968,0.194037,0.08522,0.075091,0.047224,0.196701,0.091425,0.186168,0.126102,0.13457
cdgeb-server-08,0.105674,0.147122,0.128894,0.170933,0.04982,0,0.077645,0.059825,0.233843,0.146594,0.126032,0.019041,0.171518,0.142399,0.137151,0.176424,0.10599
cdgeb-server-09,0.098302,0.139783,0.122135,0.159407,0.049004,0.024219,0.060314,0.067151,0.22615,0.128347,0.119843,0,0.174883,0.136931,0.141958,0.177875,0.098122
cdgeb-server-10,0.146318,0.122545,0.152378,0.137042,0.199574,0.223111,0.188869,0.189566,0,0.115855,0.121241,0.211275,0.051827,0.106812,0.154044,0.30228,0.136178
cdgeb-server-11,0.007738,0.232523,0.029943,0.252162,0.13588,0.108382,0.149384,0.148775,0.13876,0.215095,0.20458,0.098265,0.077921,0.219287,0.118859,0.26386,0
cdgeb-server-12,0.034079,0.25049,0,0.272351,0.162152,0.128857,0.171334,0.172585,0.148322,0.23742,0.228319,0.111458,0.083184,0.245349,0.142315,0.285947,0.018375
cdgeb-server-13,0.114461,0.244227,0.137246,0.293032,0.18361,0.136016,0.195176,0.197092,0.153029,0.261589,0.2564,0.137094,0.091124,0.275021,0,0.311285,0.115959
cdgeb-server-14,0.224233,0,0.251893,0.02339,0.099279,0.150446,0.093227,0.09037,0.120777,0.016487,0.024196,0.141063,0.155769,0.010908,0.247352,0.207575,0.231821
cdgeb-server-15,0.20097,0.023364,0.226857,0.041273,0.076115,0.126735,0.068455,0.066209,0.118315,0.01036,0,0.118434,0.171379,0.014863,0.258209,0.182116,0.203183
cdgeb-server-16,0.21917,0.009703,0.243636,0.030237,0.092174,0.142045,0.081056,0.081054,0.104037,0.009509,0.016212,0.133918,0.164582,0,0.278315,0.198304,0.220792
cdgeb-server-17,0.240357,0.016347,0.269297,0,0.117583,0.171257,0.103502,0.107254,0.131005,0.028399,0.040074,0.155431,0.171399,0.028064,0.292149,0.219562,0.244902
